rain_loc,date,time,time_period,rain_amount
"9.6698160,76.7817732",2022-05-29,00:10:30,24,40.6
"9.6729183,76.7891464",2022-05-29,00:08:20,24,30
"9.7216611,76.7776151",2022-05-29,00:08:00,24,4.4
"9.712868,76.743207",2022-05-29,00:08:00,24,22.2
"9.685829,76.784060",2022-05-29,00:08:00,24,43.2
"9.6916307,76.7760021",2022-05-29,00:08:20,24,49.4
"9.7494779,76.8015816",2022-05-29,00:08:20,24,7.2
"9.7216611,76.7776151",2022-05-30,00:08:00,24,2.8
"9.6729183,76.7891464",2022-05-30,00:08:20,24,51.2
"9.685829,76.784060",2022-05-30,00:08:00,24,9
"9.7494779,76.8015816",2022-05-30,00:08:20,24,2.5
"9.6916307,76.7760021",2022-05-30,00:08:20,24,12
"9.7494779,76.8015816",2022-05-31,00:08:20,24,0.1
"9.6698160,76.7817732",2022-05-31,00:08:45,24,8.4
"9.685829,76.784060",2022-05-31,00:08:00,24,0
"9.6916307,76.7760021",2022-05-31,00:08:20,24,0
"9.6729183,76.7891464",2022-05-31,00:10:40,24,0
"9.6729183,76.7891464",2022-06-01,00:09:09,24,0
"9.6916307,76.7760021",2022-06-01,00:08:20,24,2.8
"9.685829,76.784060",2022-06-01,00:20:00,24,2
"9.6916307,76.7760021",2022-06-02,00:08:20,24,2.4
"9.6729183,76.7891464",2022-06-02,00:08:51,24,0
"9.685829,76.784060",2022-06-02,00:08:00,24,1
"9.7494779,76.8015816",2022-06-02,00:20:20,24,0
"9.6916307,76.7760021",2022-06-03,00:08:20,24,1.2
"9.7494779,76.8015816",2022-06-03,00:08:20,24,2.8
"9.6729183,76.7891464",2022-06-03,00:11:45,24,4.8
"9.685829,76.784060",2022-06-03,00:08:30,24,1.5
"9.6916307,76.7760021",2022-06-04,00:08:20,24,1.4
"9.685829,76.784060",2022-06-04,00:08:30,24,1.8
"9.7494779,76.8015816",2022-06-04,00:08:20,24,31.6
